classe,fpr,tpr,thresholds
Amarelo,0.018867924528301886,0.8127090301003345,0.654
Amarelo,0.018867924528301886,0.8149386845039019,0.652
Amarelo,0.019237883832778396,0.8160535117056856,0.65
Amarelo,0.019237883832778396,0.8205128205128205,0.646
Amarelo,0.019237883832778396,0.8216276477146043,0.644
Amarelo,0.019237883832778396,0.8260869565217391,0.642
Amarelo,0.019237883832778396,0.830546265328874,0.632
Amarelo,0.0196078431372549,0.830546265328874,0.626
Amarelo,0.01997780244173141,0.8316610925306578,0.624
Amarelo,0.01997780244173141,0.8327759197324415,0.622
Amarelo,0.020347761746207917,0.8338907469342252,0.62
Amarelo,0.020347761746207917,0.835005574136009,0.618
Amarelo,0.020347761746207917,0.8372352285395763,0.61
Amarelo,0.020717721050684423,0.8372352285395763,0.608
Amarelo,0.020717721050684423,0.8383500557413601,0.604
Amarelo,0.020717721050684423,0.8416945373467113,0.602
Amarelo,0.021087680355160933,0.8439241917502787,0.598
Amarelo,0.02182759896411395,0.8461538461538461,0.596
Amarelo,0.022567517573066964,0.8461538461538461,0.594
Amarelo,0.022567517573066964,0.8483835005574136,0.592
Amarelo,0.02293747687754347,0.8494983277591973,0.59
Amarelo,0.02293747687754347,0.8517279821627648,0.586
Amarelo,0.023307436182019976,0.8517279821627648,0.58
Amarelo,0.023307436182019976,0.8539576365663322,0.578
Amarelo,0.023677395486496486,0.855072463768116,0.576
Amarelo,0.023677395486496486,0.8595317725752508,0.57
Amarelo,0.024047354790972992,0.8617614269788183,0.568
Amarelo,0.0244173140954495,0.8651059085841695,0.566
Amarelo,0.024787273399926008,0.8662207357859532,0.564
Amarelo,0.024787273399926008,0.8695652173913043,0.562
Amarelo,0.025157232704402517,0.8695652173913043,0.56
Amarelo,0.025157232704402517,0.8740245261984393,0.554
Amarelo,0.025157232704402517,0.875139353400223,0.552
Amarelo,0.025157232704402517,0.8784838350055741,0.548
Amarelo,0.025527192008879023,0.8795986622073578,0.546
Amarelo,0.02626711061783204,0.8795986622073578,0.542
Amarelo,0.026637069922308545,0.8795986622073578,0.54
Amarelo,0.027007029226785054,0.8807134894091416,0.538
Amarelo,0.028116907140214576,0.8818283166109253,0.536
Amarelo,0.028486866444691086,0.8818283166109253,0.534
Amarelo,0.028486866444691086,0.8840579710144928,0.532
Amarelo,0.028486866444691086,0.8851727982162765,0.528
Amarelo,0.02885682574916759,0.8851727982162765,0.522
Amarelo,0.029226785053644098,0.8862876254180602,0.52
Amarelo,0.029966703662597113,0.8862876254180602,0.516
Amarelo,0.029966703662597113,0.8907469342251951,0.512
Amarelo,0.03070662227155013,0.8907469342251951,0.504
Amarelo,0.03107658157602664,0.8918617614269788,0.498
Amarelo,0.031446540880503145,0.8918617614269788,0.488
Amarelo,0.032926378098409176,0.8940914158305463,0.482
Amarelo,0.033296337402885685,0.8963210702341137,0.48
Amarelo,0.0340362560118387,0.8974358974358975,0.478
Amarelo,0.03440621531631521,0.8974358974358975,0.476
Amarelo,0.03514613392526822,0.8996655518394648,0.474
Amarelo,0.03551609322974473,0.9018952062430323,0.472
Amarelo,0.03625601183869774,0.9018952062430323,0.462
Amarelo,0.03625601183869774,0.9085841694537347,0.456
Amarelo,0.03736588975212726,0.9085841694537347,0.454
Amarelo,0.03810580836108028,0.9085841694537347,0.45
Amarelo,0.03958564557898631,0.9085841694537347,0.444
Amarelo,0.03995560488346282,0.9085841694537347,0.442
Amarelo,0.040695523492415835,0.9096989966555183,0.436
Amarelo,0.041805401405845356,0.9096989966555183,0.432
Amarelo,0.042545320014798375,0.9163879598662207,0.428
Amarelo,0.042545320014798375,0.9186176142697882,0.422
Amarelo,0.04291527931927488,0.9186176142697882,0.418
Amarelo,0.04291527931927488,0.919732441471572,0.416
Amarelo,0.04439511653718091,0.919732441471572,0.414
Amarelo,0.04513503514613393,0.919732441471572,0.412
Amarelo,0.04513503514613393,0.9208472686733556,0.408
Amarelo,0.04587495375508694,0.9241917502787068,0.4
Amarelo,0.04624491305956345,0.9241917502787068,0.398
Amarelo,0.04698483166851646,0.9264214046822743,0.396
Amarelo,0.048094709581945984,0.9286510590858417,0.394
Amarelo,0.04846466888642249,0.9286510590858417,0.392
Amarelo,0.049204587495375506,0.9286510590858417,0.388
Amarelo,0.049944506104328525,0.9286510590858417,0.384
Amarelo,0.049944506104328525,0.9308807134894092,0.378
Amarelo,0.050314465408805034,0.9308807134894092,0.372
Amarelo,0.05068442471328154,0.9331103678929766,0.37
Amarelo,0.05179430262671106,0.9331103678929766,0.356
Amarelo,0.05290418054014059,0.9331103678929766,0.354
